"M_ab","M_ba","D_ab","D_ba","max_accept.x_a","max_accept.x_b","max_accept.e_star_a","max_accept.e_star_b","max_accept.e_hat_a","max_accept.e_hat_b","max_accept.e_a_star","max_accept.npv_a_star","max_accept.npv_b_star","max_accept.npv_a_hat","max_accept.npv_b_hat","max_accept.V_star","max_accept.WTP_A","max_accept.WTA_B","max_accept.accept"
0.1,0.2,0.1,0.9,100,0.1,45.6140350877193,45.6140350877193,35.8674463937622,-160.526315789474,56.1041261393632,10812.7942435683,-9048.91358260942,12750.5709897275,31935.0645986575,3396.70568684887,9353.86530287861,31935.0645986575,-22581.1992957789
0.1,0.3,0.1,0.1,100,21.1315789473684,45.6140350877193,45.6140350877193,35.8674463937622,17.3489278752437,46.9147722493039,10812.7942435683,-4867.50140867727,12750.5709897275,752.051155184383,3776.54788396161,8974.02310576587,752.051155184383,8221.97195058149
0.1,0.3,0.1,0.2,100,15.8736842105263,45.6140350877193,45.6140350877193,35.8674463937622,13.2675438596491,48.9055944162315,10812.7942435683,-5912.85445216031,12750.5709897275,518.142124155506,3747.83334035648,9002.73764937099,518.142124155506,8484.59552521549
0.1,0.3,0.1,0.3,100,10.6157894736842,45.6140350877193,45.6140350877193,35.8674463937622,8.02005012531328,51.2264974411758,10812.7942435683,-6958.20749564335,12750.5709897275,516.074239542105,3684.56231179942,9066.00867792806,516.074239542105,8549.93443838596
0.1,0.3,0.1,0.4,100,5.35789473684211,45.6140350877193,45.6140350877193,35.8674463937622,1.02339181286549,53.7079316516362,10812.7942435683,-8003.56053912638,12750.5709897275,861.768074551917,3582.61859516551,9167.95239456197,861.768074551917,8306.18432001005
0.1,0.3,0.1,0.5,100,0.1,45.6140350877193,45.6140350877193,35.8674463937622,-8.7719298245614,56.0163708047477,10812.7942435683,-9048.91358260942,12750.5709897275,1763.88066095887,3442.23981596822,9308.33117375926,1763.88066095887,7544.45051280039
0.1,0.3,0.1,0.6,100,0.1,45.6140350877193,45.6140350877193,35.8674463937622,-23.4649122807018,56.0099998008585,10812.7942435683,-9048.91358260942,12750.5709897275,4685.07910579385,3425.48085994815,9325.09012977933,4685.07910579385,4640.01102398549
0.1,0.3,0.1,0.7,100,0.1,45.6140350877193,45.6140350877193,35.8674463937622,-47.953216374269,55.7914188624628,10812.7942435683,-9048.91358260942,12750.5709897275,9553.74318051882,3392.16322352819,9358.40776619929,9553.74318051882,-195.335414319536
0.1,0.3,0.1,0.8,100,0.1,45.6140350877193,45.6140350877193,35.8674463937622,-96.9298245614035,55.3711598861983,10812.7942435683,-9048.91358260942,12750.5709897275,19291.0713299688,3345.68153650931,9404.88945321817,19291.0713299688,-9886.18187675058
0.1,0.3,0.1,0.9,100,0.1,45.6140350877193,45.6140350877193,35.8674463937622,-243.859649122807,54.839066199777,10812.7942435683,-9048.91358260942,12750.5709897275,48503.0557783186,3291.66462677234,9458.90636295514,48503.0557783186,-39044.1494153634
