"M_ab","M_ba","D_ab","D_ba","max_accept.x_a","max_accept.x_b","max_accept.e_star_a","max_accept.e_star_b","max_accept.e_hat_a","max_accept.e_hat_b","max_accept.e_a_star","max_accept.npv_a_star","max_accept.npv_b_star","max_accept.npv_a_hat","max_accept.npv_b_hat","max_accept.V_star","max_accept.WTP_A","max_accept.WTA_B","max_accept.accept"
0.3,0.1,0.5,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,-8.7719298245614,35.8674463937622,12.2317903694111,10812.7942435683,-1731.44227822816,21625.5884871366,206.334467931031,1977.06083128809,19648.5276558485,206.334467931031,19442.1931879175
0.3,0.1,0.6,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,-23.4649122807018,35.8674463937622,10.6578577249534,10812.7942435683,-1731.44227822816,24546.7869319716,206.334467931031,1966.43099426121,22580.3559377103,206.334467931031,22374.0214697793
0.3,0.1,0.7,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,-47.953216374269,35.8674463937622,6.36002040969354,10812.7942435683,-1731.44227822816,29415.4510066965,206.334467931031,1962.37520275707,27453.0758039395,206.334467931031,27246.7413360084
0.3,0.1,0.8,0.1,100,36.9052631578947,45.6140350877193,45.6140350877193,-96.9298245614035,35.8674463937622,2.12050961758723,10812.7942435683,-1731.44227822816,39152.7791561465,206.334467931031,1960.92481593716,37191.8543402093,206.334467931031,36985.5198722783
0.3,0.1,0.9,0.1,0.1,36.9052631578947,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,-1731.44227822816,48503.0557783186,206.334467931031,961.326669328484,47541.7291089901,206.334467931031,NA
0.3,0.1,0.9,0.1,0.1,42.1631578947368,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,-686.089234745121,48503.0557783186,1251.68751141407,982.646489919511,47520.4092883991,1251.68751141407,NA
0.3,0.1,0.9,0.1,0.1,47.421052631579,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,359.263808737916,48503.0557783186,2297.04055489711,1000.73754869813,47502.3182296205,2297.04055489711,NA
0.3,0.1,0.9,0.1,0.1,52.6789473684211,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,1404.61685222095,48503.0557783186,3342.39359838014,1016.26253326575,47486.7932450528,3342.39359838014,NA
0.3,0.1,0.9,0.1,0.1,57.9368421052632,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,2449.96989570399,48503.0557783186,4387.74664186318,1029.67953493175,47473.3762433868,4387.74664186318,NA
0.3,0.1,0.9,0.1,0.1,63.1947368421053,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,3495.32293918703,48503.0557783186,5433.09968534622,1041.34011207197,47461.7156662466,5433.09968534622,NA
0.3,0.1,0.9,0.1,0.1,68.4526315789474,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,4540.67598267007,48503.0557783186,6478.45272882926,1051.43989302569,47451.6158852929,6478.45272882926,NA
0.3,0.1,0.9,0.1,0.1,73.7105263157895,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,5586.0290261531,48503.0557783186,7523.80577231229,1060.17923117926,47442.8765471393,7523.80577231229,NA
0.3,0.1,0.9,0.1,0.1,78.9684210526316,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,6631.38206963614,48503.0557783186,8569.15881579533,1067.89177645406,47435.1640018645,8569.15881579533,NA
0.3,0.1,0.9,0.1,0.1,84.2263157894737,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,7676.73511311918,48503.0557783186,9614.51185927837,1074.50112857769,47428.5546497409,9614.51185927837,NA
0.3,0.1,0.9,0.1,0.1,89.4842105263158,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,8722.08815660221,48503.0557783186,10659.8649027614,1080.2133205104,47422.8424578082,10659.8649027614,NA
0.3,0.1,0.9,0.1,0.1,94.7421052631579,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,9767.44120008525,48503.0557783186,11705.2179462444,1085.09984048057,47417.955937838,11705.2179462444,NA
0.3,0.1,0.9,0.1,0.1,100,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-9048.91358260942,10812.7942435683,48503.0557783186,12750.5709897275,1089.28610736904,47413.7696709495,12750.5709897275,NA
0.3,0.1,0.9,0.1,5.35789473684211,36.9052631578947,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-8003.56053912638,-1731.44227822816,49548.4088218016,206.334467931031,1013.90561669691,48534.5032051047,206.334467931031,NA
0.3,0.1,0.9,0.1,5.35789473684211,42.1631578947368,45.6140350877193,45.6140350877193,-243.859649122807,35.8674463937622,0,-8003.56053912638,-686.089234745121,49548.4088218016,1251.68751141407,1035.22543728793,48513.1833845137,1251.68751141407,NA
