"value_m","value_d","max_accept.x_a","max_accept.x_b","max_accept.e_star_a","max_accept.e_star_b","max_accept.e_hat_a","max_accept.e_hat_b","max_accept.e_a_star","max_accept.npv_a_star","max_accept.npv_b_star","max_accept.npv_a_hat","max_accept.npv_b_hat","max_accept.V_star","max_accept.WTP_A","max_accept.WTA_B","max_accept.accept"
0.6,0.6,100,0.1,45.6140350877193,45.6140350877193,-85.9649122807017,-85.9649122807017,51.9797036164973,10812.7942435683,-9048.91358260942,36972.7803167174,17111.0724905397,3518.43274091874,33454.3475757986,17111.0724905397,16343.275085259
0.6,0.7,100,0.1,45.6140350877193,45.6140350877193,-131.286549707602,-131.286549707602,52.7279820883327,10812.7942435683,-9048.91358260942,45983.4421863576,26121.7343601799,3525.12937955622,42458.3128068014,26121.7343601799,16336.5784466215
0.6,0.8,100,0.1,45.6140350877193,45.6140350877193,-221.929824561404,-221.929824561404,52.6481617603324,10812.7942435683,-9048.91358260942,64004.7659256381,44143.0580994604,3530.35274998529,60474.4131756528,44143.0580994604,16331.3550761924
0.6,0.9,100,0.1,45.6140350877193,45.6140350877193,-493.859649122807,-493.859649122807,53.0618855765621,10812.7942435683,-9048.91358260942,118068.73714348,98207.0293173018,3535.7621733875,114532.974970092,98207.0293173018,16325.9456527902
0.7,0.1,100,0.1,45.6140350877193,45.6140350877193,-19.6881091617934,-19.6881091617934,51.916393919872,10812.7942435683,-9048.91358260942,23795.8984428349,3934.19061665716,3536.48730468326,20259.4111381516,3934.19061665716,16325.2205214944
0.7,0.2,100,0.1,45.6140350877193,45.6140350877193,-28.3991228070175,-28.3991228070175,52.1180141040482,10812.7942435683,-9048.91358260942,25527.7864097146,5666.07858353694,3542.15912374509,21985.6272859695,5666.07858353694,16319.5487024326
0.7,0.3,100,0.1,45.6140350877193,45.6140350877193,-39.5989974937343,-39.5989974937343,52.7802754649166,10812.7942435683,-9048.91358260942,27754.4995099886,7892.79168381094,3548.0769974862,24206.4225125024,7892.79168381094,16313.6308286915
0.7,0.4,100,0.1,45.6140350877193,45.6140350877193,-54.5321637426901,-54.5321637426901,51.66759920628,10812.7942435683,-9048.91358260942,30723.450310354,10861.7424841763,3552.52257656646,27170.9277337875,10861.7424841763,16309.1852496113
0.7,0.5,100,0.1,45.6140350877193,45.6140350877193,-75.4385964912281,-75.4385964912281,51.9869628313654,10812.7942435683,-9048.91358260942,34879.9814308654,15018.2736046877,3556.57001511296,31323.4114157525,15018.2736046877,16305.1378110647
0.7,0.6,100,0.1,45.6140350877193,45.6140350877193,-106.798245614035,-106.798245614035,52.3217714261268,10812.7942435683,-9048.91358260942,41114.7781116326,21253.0702854549,3560.73492147743,37554.0431901552,21253.0702854549,16300.9729047003
0.7,0.7,100,0.1,45.6140350877193,45.6140350877193,-159.06432748538,-159.06432748538,52.7208162094417,10812.7942435683,-9048.91358260942,51506.1059129113,31644.3980867336,3564.20594828983,47941.8999646215,31644.3980867336,16297.5018778879
0.7,0.8,100,0.1,45.6140350877193,45.6140350877193,-263.59649122807,-263.59649122807,52.6373944624757,10812.7942435683,-9048.91358260942,72288.7615154686,52427.0536892909,3565.945259329,68722.8162561396,52427.0536892909,16295.7625668487
0.7,0.9,100,0.1,45.6140350877193,45.6140350877193,-577.192982456141,-577.192982456141,53.1439492863238,10812.7942435683,-9048.91358260942,134636.728323141,114775.020496963,3567.63113157995,131069.097191561,114775.020496963,16294.0766945978
0.8,0.1,100,0.1,45.6140350877193,45.6140350877193,-28.9473684210526,-28.9473684210526,50.7373383710386,10812.7942435683,-9048.91358260942,25636.7863516861,5775.07852550839,3573.7567993925,22063.0295522936,5775.07852550839,16287.9510267852
0.8,0.2,100,0.1,45.6140350877193,45.6140350877193,-38.8157894736842,-38.8157894736842,50.824100292724,10812.7942435683,-9048.91358260942,27598.7853071723,7737.07748099457,3577.03657583717,24021.7487313351,7737.07748099457,16284.6712503405
0.8,0.3,100,0.1,45.6140350877193,45.6140350877193,-51.5037593984962,-51.5037593984962,52.3789664914327,10812.7942435683,-9048.91358260942,30121.3553927974,10259.6475666197,3580.14960219501,26541.2057906024,10259.6475666197,16281.5582239827
