"x_a","x_b","e_star_a","e_star_b","e_hat_a","e_hat_b","e_a_star","npv_a_star","npv_b_star","npv_a_hat","npv_b_hat","V_star","WTP_A","WTA_B","accept"
11.2,77.8,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,11.2,-5606.72448180208,7634.41406898306,-1973.3930827536,10312.6983574245,1680.62313242049,-3654.01621517409,10312.6983574245,FALSE
11.2,88.9,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,11.2,-5606.72448180208,9841.27049411392,-1973.3930827536,12519.5547825554,1672.31833026713,-3645.71141302073,12519.5547825554,FALSE
11.2,100,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,11.2,-5606.72448180208,12048.1269192448,-1973.3930827536,14726.4112076862,1658.08580320279,-3631.47888595639,14726.4112076862,FALSE
22.3,0.1,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.3,-3399.86805667122,-7813.58090693294,233.463342377257,-5135.29661849149,1485.5611139013,-1252.09777152404,-5135.29661849149,TRUE
22.3,11.2,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.3,-3399.86805667122,-5606.72448180208,233.463342377257,-2928.44019336063,1629.60640250927,-1396.14306013202,-2928.44019336063,TRUE
22.3,22.3,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.3,-3399.86805667122,-3399.86805667122,233.463342377257,-721.583768229773,1707.28018838983,-1473.81684601257,-721.583768229773,FALSE
22.3,33.4,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.3,-3399.86805667122,-1193.01163154036,233.463342377257,1485.27265690108,1752.73744603287,-1519.27410365561,1485.27265690108,FALSE
22.3,44.5,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.3,-3399.86805667122,1013.84479359049,233.463342377257,3692.12908203194,1779.23558796365,-1545.77224558639,3692.12908203194,FALSE
22.3,55.6,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.1594602117615,-3399.86805667122,3220.70121872135,233.463342377257,5898.9855071628,1793.05178361866,-1559.5884412414,5898.9855071628,FALSE
22.3,66.7,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.8245736494101,-3399.86805667122,5427.5576438522,233.463342377257,8105.84193229365,1798.13227197135,-1564.6689295941,8105.84193229365,FALSE
22.3,77.8,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.6519630223934,-3399.86805667122,7634.41406898306,233.463342377257,10312.6983574245,1796.67369196839,-1563.21034959113,10312.6983574245,FALSE
22.3,88.9,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980054921854,-3399.86805667122,9841.27049411392,233.463342377257,12519.5547825554,1786.57007138465,-1553.1067290074,12519.5547825554,FALSE
22.3,100,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980090291052,-3399.86805667122,12048.1269192448,233.463342377257,14726.4112076862,1772.33754739222,-1538.87420501496,14726.4112076862,FALSE
33.4,0.1,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,33.4,-1193.01163154037,-7813.58090693294,2440.31976750811,-5135.29661849149,1627.37783060956,812.941936898554,-5135.29661849149,TRUE
33.4,11.2,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,29.4516512971872,-1193.01163154037,-5606.72448180208,2440.31976750811,-2928.44019336063,1748.31666214023,692.003105367885,-2928.44019336063,TRUE
33.4,22.3,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,26.2718762887536,-1193.01163154037,-3399.86805667122,2440.31976750811,-721.583768229773,1819.36149039697,620.958277111144,-721.583768229773,TRUE
33.4,33.4,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026735658,-1193.01163154037,-1193.01163154036,2440.31976750811,1485.27265690108,1863.87415334012,576.44561416799,1485.27265690108,FALSE
33.4,44.5,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026737,-1193.01163154037,1013.84479359049,2440.31976750811,3692.12908203194,1890.3722952709,549.94747223721,3692.12908203194,FALSE
33.4,55.6,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.159460212013,-1193.01163154037,3220.70121872135,2440.31976750811,5898.9855071628,1904.05178361866,536.267983889456,5898.9855071628,FALSE
33.4,66.7,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.824573647828,-1193.01163154037,5427.5576438522,2440.31976750811,8105.84193229365,1909.13227197135,531.18749553676,8105.84193229365,FALSE
